서울특별시 중랑구 상봉제1동(1126058000),24623,24623,1819,1932,3568,3647,3551,4311,3429,1586,685,92,3,12020,12020,948,1020,1756,1846,1753,2054,1668,694,265,16,0,12603,12603,871,912,1812,1801,1798,2257,1761,892,420,76,3
서울특별시 중랑구 상봉제2동(1126059000),20094,20094,777,773,4174,4236,2616,3079,2530,1357,476,65,11,9723,9723,383,412,1734,2171,1371,1550,1223,650,209,18,2,10371,10371,394,361,2440,2065,1245,1529,1307,707,267,47,9
서울특별시 중랑구 중화제1동(1126060000),20054,20054,1235,1303,2868,3159,2812,3316,3155,1572,561,72,1,9822,9822,643,634,1410,1652,1458,1552,1517,714,228,13,1,10232,10232,592,669,1458,1507,1354,1764,1638,858,333,59,0
서울특별시 중랑구 중화제2동(1126061000),25207,25207,1028,1166,3741,3642,3410,4835,4179,2236,875,89,6,12963,12963,565,626,1862,1934,1846,2583,2142,1025,352,26,2,12244,12244,463,540,1879,1708,1564,2252,2037,1211,523,63,4
서울특별시 중랑구 묵제1동(1126062000),35016,35016,2279,3068,4970,4840,5744,5549,4794,2602,1024,132,14,16922,16922,1167,1546,2392,2425,2819,2664,2248,1201,432,22,6,18094,18094,1112,1522,2578,2415,2925,2885,2546,1401,592,110,8
서울특별시 중랑구 묵제2동(1126063000),19303,19303,1034,1200,2692,3056,2836,3259,3011,1561,575,69,10,9493,9493,528,623,1309,1593,1442,1598,1414,730,233,19,4,9810,9810,506,577,1383,1463,1394,1661,1597,831,342,50,6
서울특별시 중랑구 망우본동(1126065500),30206,30206,1460,1858,4177,4048,4061,5647,5174,2613,1009,151,8,15148,15148,754,922,2110,2105,2183,2833,2589,1251,364,34,3,15058,15058,706,936,2067,1943,1878,2814,2585,1362,645,117,5
서울특별시 중랑구 망우제3동(1126066000),16816,16816,746,1139,2306,2036,2365,3259,2808,1472,571,99,15,8436,8436,398,525,1184,1100,1205,1655,1428,685,234,19,3,8380,8380,348,614,1122,936,1160,1604,1380,787,337,80,12
서울특별시 중랑구 신내1동(1126068000),39068,39068,3202,3755,4846,4929,5904,6456,5665,2810,1266,224,11,19022,19022,1654,1923,2487,2413,2932,3063,2741,1296,477,36,0,20046,20046,1548,1832,2359,2516,2972,3393,2924,1514,789,188,11
서울특별시 중랑구 신내2동(1126069000),20954,20954,1314,1718,2527,2889,3160,3504,3329,1621,785,101,6,9965,9965,662,867,1296,1398,1557,1654,1537,699,264,29,2,10989,10989,652,851,1231,1491,1603,1850,1792,922,521,72,4
